"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"62","2","A","C5","no tag",2023,"Jovem",4.5,6,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,62
"63","2","A","D1","no tag",2023,"Reprodutivo",2,8,8.7,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,63
"64","2","A","D1","no tag",2023,"Reprodutivo",6.5,3,5.6,5.5,5,NA,NA,NA,"Morreu",NA,NA,5.25,NA,1,0,64
"65","2","A","D2","no tag",2023,"Reprodutivo",6,2,10.4,7.2,9.1,NA,NA,NA,"Morreu",NA,NA,8.15,NA,1,0,65
"66","2","A","D3","no tag",2023,"Jovem",0.5,2,7.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,66
"67","2","A","D3","no tag",2023,"Jovem",0.5,2,1.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,67
"68","2","A","D3","no tag",2023,"Jovem",0.5,2,7.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,68
"69","2","A","D3","no tag",2023,"Jovem",0.5,2,7.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,69
"70","2","A","E1","2029",2022,"Reprodutivo",10,4,36.4,23.2,28.3,NA,NA,NA,"Morreu","Esqueleto sem placa",NA,25.75,NA,1,0,70
"71","2","A","E1","no tag",2023,"Reprodutivo",6,8,11.1,7.8,7.4,NA,NA,NA,"Morreu",NA,NA,7.6,NA,1,0,71
"72","2","A","E1","no tag",2023,"Reprodutivo",5,6.5,9.7,7.4,6.5,25,27,22,"Reprodutivo",NA,NA,6.95,24.5,1,1,72
"73","2","A","E1","no tag",2022,"Reprodutivo",1.5,5.5,24.2,20.3,15.2,NA,NA,NA,"Morreu",NA,NA,17.75,NA,1,0,73
"74","2","A","E1","no tag",2023,"Reprodutivo",5,6,12.2,7.5,6.9,NA,NA,NA,"Morreu",NA,NA,7.2,NA,1,0,74
"75","2","A","E1","no tag",2023,"Reprodutivo",4,7,6.7,5.5,5,NA,NA,NA,"Morreu",NA,NA,5.25,NA,1,0,75
"76","2","B","A3","no tag",2023,"Reprodutivo",9.5,8.5,9.1,6.1,5,NA,NA,NA,"Morreu",NA,NA,5.55,NA,1,0,76
"77","2","B","A3","no tag",2023,"Reprodutivo",9.5,8.5,9.1,6.1,5,11,5,5,"Jovem",NA,NA,5.55,5,1,1,77
