plot;stage;stage2;diam;fate;fate2;X_10;Y_10
9;3;reprod;30.1;3;Reprodutivo;7;4.5
9;3;reprod;5;0;dead;3;1
9;3;reprod;5;0;dead;2;1
9;3;reprod;22.9;0;dead;5;6
9;3;reprod;15;0;dead;10;4
9;3;reprod;11.1;0;dead;4.5;2
9;3;reprod;38.3;0;dead;10;2
10;3;reprod;15.2;0;dead;6;5
10;3;reprod;26.1;0;dead;5.5;7
10;3;reprod;16;0;dead;8;0
10;3;reprod;50.7;0;dead;5.5;10.5
10;3;reprod;52;0;dead;3;6
1;2;immature;7.6;2;immature;2;9
1;2;immature;5;0;dead;4;5
1;2;immature;10.2;0;dead;4;5
1;2;immature;7.1;0;dead;5;7
1;2;immature;6.5;0;dead;2;8
1;2;immature;6.5;2;immature;2;8
1;2;immature;26.5;0;dead;4;10
1;2;immature;23.2;3;Reprodutivo;2;7
1;2;immature;5;0;dead;3;5.5
1;2;immature;7.7;2;immature;9.5;5
2;2;immature;5;0;dead;4;4.5
2;2;immature;5;0;dead;1;4
2;2;immature;5;0;dead;1;4
2;2;immature;5;0;dead;3;5.5
2;2;immature;5;0;dead;7;4.5
2;2;immature;5;0;dead;5;8.5
2;2;immature;5;0;dead;2.5;5
2;2;immature;5;0;dead;3;5
2;2;immature;5;0;dead;2;6.5
2;2;immature;5;0;dead;2.5;0.5
2;2;immature;5;3;Reprodutivo;1.5;2
2;2;immature;5;0;dead;0.5;6
2;2;immature;5;2;immature;6;6.5
2;2;immature;5;0;dead;6;6.5
2;2;immature;5;0;dead;6;6.5
2;2;immature;5;0;dead;6;6.5
2;2;immature;5;2;immature;6;6
2;2;immature;5;0;dead;4.5;8
2;2;immature;5;0;dead;3;3
2;2;immature;5;0;dead;3;3
2;2;immature;5;0;dead;5;3
2;2;immature;5;0;dead;3.5;5
2;2;immature;5;0;dead;4.5;4
2;2;immature;5;0;dead;4.5;6
2;2;immature;5;0;dead;0.5;2
2;2;immature;5;0;dead;0.5;2
2;2;immature;5;0;dead;0.5;2
2;2;immature;5;0;dead;0.5;2
2;2;immature;5;0;dead;4;7
2;2;immature;5;0;dead;3;9.5
2;2;immature;5;0;dead;4;9.5
2;2;immature;8.2;2;immature;5;3.5
2;2;immature;5;0;dead;8;1
2;2;immature;5.8;2;immature;9;7
2;2;immature;5;0;dead;4.5;1
2;2;immature;5.5;0;dead;8;5
2;2;immature;5;0;dead;9;5
2;2;immature;5;0;dead;9;5
2;2;immature;9.2;2;immature;4;0.5
2;2;immature;5.2;0;dead;2;9
2;2;immature;5;0;dead;4;8.5
2;2;immature;5;0;dead;4.5;8.5
2;2;immature;5;0;dead;4.5;8.5
2;2;immature;5;0;dead;5;8.5
2;2;immature;5;2;immature;1.5;8.5
2;2;immature;5;0;dead;4;8.5
2;2;immature;5;0;dead;4.5;8.5
2;2;immature;5;0;dead;4.5;8.5
2;2;immature;5;0;dead;5;8.5
2;2;immature;5;0;dead;3.5;3.5
2;2;immature;5;0;dead;5;9
2;2;immature;5;0;dead;5.5;9
2;2;immature;5;0;dead;8;3
2;2;immature;5;0;dead;8.5;3.5
2;2;immature;5;0;dead;6;5
2;2;immature;5;0;dead;7.5;6
2;2;immature;5;0;dead;7.5;3
2;2;immature;5;0;dead;7.5;3
2;2;immature;8;2;immature;7.5;3
2;2;immature;5;2;immature;5.5;2
2;2;immature;5.5;0;dead;1;5
2;2;immature;5;0;dead;2;5
2;2;immature;5;0;dead;2;5
2;2;immature;5;0;dead;8;9
2;2;immature;5;0;dead;8.5;8.5
2;2;immature;5;0;dead;6;4
2;2;immature;5;2;immature;8;4
2;2;immature;5;0;dead;4;4
2;2;immature;5.5;0;dead;4;5
2;2;immature;5;0;dead;4;8
2;2;immature;6.6;0;dead;3;5
2;2;immature;7.4;2;immature;5;5
2;2;immature;5.5;0;dead;8.5;4.5
2;2;immature;5;0;dead;1;2
2;2;immature;5;2;immature;2.5;2
2;2;immature;5;0;dead;3;1.5
2;2;immature;5;0;dead;4;1
2;2;immature;5;0;dead;2;1
2;2;immature;5;0;dead;7;8
2;2;immature;5.9;0;dead;6;2
2;2;immature;5;0;dead;7;4
2;2;immature;22.1;0;dead;1;4.5
2;2;immature;5;0;dead;5;5.5
2;2;immature;5;0;dead;4;6.5
2;2;immature;5;0;dead;2;8
2;2;immature;5;0;dead;2;8
2;2;immature;5;0;dead;2;8
2;2;immature;5;0;dead;2;8
3;2;immature;5.2;0;dead;5;5
3;2;immature;6.8;2;immature;9;9.5
3;2;immature;20.7;0;dead;1.5;6
3;2;immature;22.1;2;immature;6;9
3;2;immature;5;0;dead;3;5
3;2;immature;5;0;dead;2;5.5
3;2;immature;7.6;0;dead;1.5;3.5
3;2;immature;8.7;0;dead;2;4
3;2;immature;5;0;dead;7;8
