Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
2;C;0;50;C3;20;20;no tag;2024;new;2.5;8;22.5;28;22.5;78;;;;5;5;5;Jovem
2;C;0;50;C3;20;20;no tag;2024;new;1.5;10;21.5;30;21.5;80;;;;5;5;5;Jovem
2;C;0;50;C3;20;20;no tag;2024;new;7;7.5;27;27.5;27;77.5;;;;5;5;5;Jovem
2;C;0;50;C3;20;20;no tag;2024;new;7;9.5;27;29.5;27;79.5;;;;5;5;5;Jovem
2;C;0;50;C5;20;40;no tag;2024;new;2;1.5;22;41.5;22;91.5;;;;5;5;5;Jovem
2;C;0;50;C5;20;40;no tag;2024;new;4;3.5;24;43.5;24;93.5;;;;5;5;5;Jovem
2;C;0;50;D1;30;0;no tag;2024;new;5.5;4;35.5;4;35.5;54;;;;5;5;5;Jovem
2;C;0;50;D1;30;0;no tag;2024;new;6.5;6.5;36.5;6.5;36.5;56.5;;;;5;5;5;Jovem
2;C;0;50;D1;30;0;no tag;2024;new;7;3;37;3;37;53;;;;5;5;5;Jovem
2;C;0;50;D2;30;10;no tag;2024;new;9.5;7;39.5;17;39.5;67;;;;5;5;5;Jovem
2;C;0;50;D3;30;20;no tag;2024;new;7;7;37;27;37;77;;;;5;5;5;Jovem
2;C;0;50;D3;30;20;no tag;2024;new;7;7;37;27;37;77;;;;5;5;5;Jovem
2;C;0;50;D3;30;20;no tag;2024;new;7;7;37;27;37;77;;;;5;5;5;Jovem
2;C;0;50;D3;30;20;no tag;2024;new;7;7;37;27;37;77;;;;5;5;5;Jovem
2;C;0;50;D4;30;30;no tag;2024;new;5.5;6.5;35.5;36.5;35.5;86.5;;;;5;5;5;Jovem
2;C;0;50;D4;30;30;no tag;2024;new;10;2.5;40;32.5;40;82.5;;;;5;5;5;Jovem
2;C;0;50;D5;30;40;no tag;2024;new;2.5;7.5;32.5;47.5;32.5;97.5;;;;5;5;5;Jovem
2;C;0;50;D5;30;40;no tag;2024;new;2.5;7.5;32.5;47.5;32.5;97.5;;;;5;5;5;Jovem
2;C;0;50;D5;30;40;no tag;2024;new;2.5;8;32.5;48;32.5;98;;;;5;5;5;Jovem
2;C;0;50;E2;40;10;no tag;2024;new;6;8;46;18;46;68;;;;5;5;5;Jovem
2;C;0;50;E3;40;20;no tag;2024;new;2;4;42;24;42;74;;;;5;5;5;Jovem
2;C;0;50;E3;40;20;no tag;2024;new;6.5;4.5;46.5;24.5;46.5;74.5;;;;5;5;5;Jovem
2;C;0;50;E3;40;20;no tag;2024;new;8;4.5;48;24.5;48;74.5;;;;5;5;5;Jovem
2;C;0;50;E3;40;20;no tag;2024;new;4;10;44;30;44;80;;;;5;5;5;Jovem
