Plot;stage;stage 2;;fate;fate2
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
