Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
2;C;0;50;D5;30;40;no tag;2023;immaturo_23 ;4;4;34;44;34;94;14;5;5;78.5;
2;C;0;50;D5;30;40;no tag;2023;immaturo_23 ;4;5;34;45;34;95;14.6;5.5;5.5;94.985;
2;C;0;50;D5;30;40;no tag;2023;immaturo_23 ;4;8;34;48;34;98;10.4;5;5;78.5;
2;C;0;50;E2;40;10;no tag;2023;immaturo_23 ;3;5;43;15;43;65;16.8;6.6;10.2;211.3848;
2;C;0;50;E2;40;10;no tag;2023;immaturo_23 ;5;5;45;15;45;65;5.6;7.4;7;162.652;
2;C;0;50;E3;40;20;no tag;2023;immaturo_23 ;8.5;4.5;48.5;24.5;48.5;74.5;11.7;5.5;5;86.35;
2;C;0;50;E5;40;40;no tag;2023;immaturo_23 ;1;2;41;42;41;92;12.8;5;5;78.5;
2;C;0;50;E5;40;40;no tag;2023;immaturo_23 ;2.5;2;42.5;42;42.5;92;5;5;5;78.5;
2;C;0;50;E5;40;40;no tag;2023;immaturo_23 ;3;1.5;43;41.5;43;91.5;5;5;5;78.5;
2;C;0;50;E5;40;40;no tag;2023;immaturo_23 ;4;1;44;41;44;91;5;5;5;78.5;
2;D;50;50;A2;30;0;no tag;2023;reprodutivo_23;4;6.5;34;6.5;84;56.5;22.8;11.8;15.2;563.1904;
2;D;50;50;A3;20;0;no tag;2023;reprodutivo_23;7.5;6;27.5;6;77.5;56;5;5;5;78.5;
2;D;50;50;A5;0;0;no tag;2023;reprodutivo_23;1;3;1;3;51;53;18;5.5;5.5;94.985;
2;D;50;50;A5;0;0;no tag;2023;reprodutivo_23;7.5;3.5;7.5;3.5;57.5;53.5;11.8;5.4;5;84.78;
2;D;50;50;B1;40;10;no tag;2023;reprodutivo_23;6.5;1;46.5;11;96.5;61;5;5;5;78.5;
2;D;50;50;B5;0;10;no tag;2023;immaturo_23 ;2;1;2;11;52;61;5;5;5;78.5;
2;D;50;50;B5;0;10;no tag;2023;reprodutivo_23;7;5;7;15;57;65;10.9;5;5;78.5;
2;D;50;50;B5;0;10;no tag;2023;reprodutivo_23;5.5;5;5.5;15;55.5;65;9.3;5;5;78.5;
2;D;50;50;B5;0;10;no tag;2023;immaturo_23 ;7;8;7;18;57;68;6.7;5;5;78.5;
2;D;50;50;C5;0;20;no tag;2023;reprodutivo_23;0.5;3;0.5;23;50.5;73;5;5;5;78.5;
2;D;50;50;C5;0;20;no tag;2023;reprodutivo_23;0.5;3;0.5;23;50.5;73;5;5;5;78.5;
2;D;50;50;E2;30;40;no tag;2023;immaturo_23 ;5;5.5;35;45.5;85;95.5;5;5;5;78.5;
2;D;50;50;E2;30;40;no tag;2023;immaturo_23 ;4;6.5;34;46.5;84;96.5;5;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;1;8;21;48;71;48;9.8;6.9;6;129.996;
