id;size_h;sizer;size;reprod;size_nexth;size_nextr;size_next;survival;site;interval;;;;;
68;16;1;16;0;12;2;24;1;lajedo;1;;;;;
65;9;1;9;0;2;1;2;1;lajedo;1;;;;;
2476148;3;1;3;0;;;0;0;lajedo;1;;;;;
80;12;1;12;0;11;2;22;1;lajedo;1;;;;;
123;20;1;20;0;22;1;22;1;lajedo;1;;;;;
122;22;1;22;0;24;2;48;1;lajedo;1;;;;;
75;2;1;2;0;0;0;0;0;lajedo;1;;;;;
71;40;6;240;1;38;6;228;1;lajedo;1;;;;;
72;61;6;366;1;39;6;234;1;lajedo;1;;;;;
76;79;2;158;1;79;5;395;1;lajedo;1;;;;;
81;35;1;35;0;;;0;0;lajedo;1;;;;;
82;54;4;216;0;41;9;369;1;lajedo;1;;;;;
505;8;1;8;0;8;1;8;1;lajedo;1;;;;;
86;61;11;671;0;65;17;1105;1;lajedo;1;;;;;
87;9;1;9;0;9;2;18;1;lajedo;1;;;;;
497;8;1;8;0;;;0;0;lajedo;1;;;;;
90;10;1;10;0;5;1;5;1;lajedo;1;;;;;
91;5;1;5;0;4;1;4;1;lajedo;1;;;;;
2475004;7;1;7;0;;;0;0;lajedo;1;;;;;
105;19;2;38;0;15;3;45;1;lajedo;1;;;;;
111;38;2;76;0;33;3;99;1;lajedo;1;;;;;
112;15;1;15;0;12;2;24;1;lajedo;1;;;;;
113;14;1;14;0;13;1;13;1;lajedo;1;;;;;
121;38;4;152;0;46;5;230;1;lajedo;1;;;;;
114;30;5;150;0;45;4;180;1;lajedo;1;;;;;
116;39;1;39;0;33;2;66;1;lajedo;1;;;;;
117;25;1;25;0;11;1;11;1;lajedo;1;;;;;
2475013;2.5;1;2.5;0;10;1;10;1;lajedo;1;;;;;
500;15;1;15;0;13;1;13;1;lajedo;1;;;;;
115;19;1;19;0;16;3;48;1;lajedo;1;;;;;
2475016;1.5;1;1.5;0;;;0;0;lajedo;1;;;;;
2475017;7;1;7;0;;;0;0;lajedo;1;;;;;
508;12;1;12;0;10;1;10;1;lajedo;1;;;;;
92;11;1;11;0;9;1;9;1;lajedo;1;;;;;
127;22.5;2;45;0;29;4;116;1;lajedo;1;;;;;
137;53;7;371;1;95;5;475;1;lajedo;1;;;;;
132;30.5;13;396.5;0;24;13;312;1;lajedo;1;;;;;
142;22;2;44;0;21;1;21;1;lajedo;1;;;;;
141;25.5;2;51;0;34;2;68;1;lajedo;1;;;;;
140;60;4;240;1;59;3;177;1;lajedo;1;;;;;
136;89;6;534;0;65;6;390;1;lajedo;1;;;;;
138;26;1;26;0;25;1;25;1;lajedo;1;;;;;
139;37;1;37;0;21;2;42;1;lajedo;1;;;;;
135;17;1;17;0;;;0;0;lajedo;1;;;;;
510;13;1;13;0;11;2;22;1;lajedo;1;;;;;
134;81;6;486;0;78;9;702;1;lajedo;1;;;;;
511;3.5;1;3.5;0;8;1;8;1;lajedo;1;;;;;
129;17;1;17;0;;;0;0;lajedo;1;;;;;
130;140.5;29;4074.5;1;139;42;5838;1;lajedo;1;;;;;
133;76;4;304;1;105;3;315;1;lajedo;1;;;;;
2330053;2;1;2;0;;;0;0;lajedo;1;;;;;
125;129;1;129;1;141;4;564;1;lajedo;1;;;;;
131;71;5;355;1;66;8;528;1;lajedo;1;;;;;
2330056;3;1;3;0;;;0;0;lajedo;1;;;;;
128;9;1;9;0;5;2;10;1;lajedo;1;;;;;
2330058;3.5;1;3.5;0;;;0;0;lajedo;1;;;;;
2330059;8;1;8;0;;;0;0;lajedo;1;;;;;
126;154;10;1540;1;138;12;1656;1;lajedo;1;;;;;
124;33;6;198;0;0;0;0;0;lajedo;1;;;;;
265;98;29;2842;1;105;27;2835;;lajedo;1;;;;;
268;109;17;1853;1;131;14;1834;;lajedo;1;;;;;
269;113;20;2260;1;106;24;2544;;lajedo;1;;;;;
;;;;;159;5;795;;lajedo;1;;;;;
;;;;;12;2;24;;lajedo;1;;;;;
;;;;;4;1;4;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;5;1;5;;lajedo;1;;;;;
;;;;;7;1;7;;lajedo;1;;;;;
;;;;;4;1;4;;lajedo;1;;;;;
;;;;;4;1;4;;lajedo;1;;;;;
;;;;;4;1;4;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;10;2;20;;lajedo;1;;;;;
;;;;;14;2;28;;lajedo;1;;;;;
;;;;;11;2;22;;lajedo;1;;;;;
;;;;;19;3;57;;lajedo;1;;;;;
;;;;;3;1;3;;lajedo;1;;;;;
;;;;;4;1;4;;lajedo;1;;;;;
;;;;;9;2;18;;lajedo;1;;;;;
;;;;;39;1;39;;lajedo;1;;;;;
;;;;;5;1;5;;lajedo;1;;;;;
;;;;;10;2;20;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;29;2;58;;lajedo;1;;;;;
;;;;;35;1;35;;lajedo;1;;;;;
;;;;;17;2;34;;lajedo;1;;;;;
;;;;;5;1;5;;lajedo;1;;;;;
;;;;;8;1;8;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;3;1;3;;lajedo;1;;;;;
;;;;;1;1;1;;lajedo;1;;;;;
;;;;;6;1;6;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;12;1;12;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
;;;;;2;1;2;;lajedo;1;;;;;
