id,size,size_next,survival,repro
220,8,NA,1,0
221,8,8.92,1,0
222,8,8.23,1,0
223,8,7.88,1,0
224,8,7.77,1,0
225,8.1,8.82,1,0
226,8.1,8.3,1,0
227,8.3,9.41,1,0
228,8.3,8.97,1,0
229,8.3,8.01,1,0
230,8.4,9.92,1,0
231,8.4,9.66,1,0
232,8.4,9.36,1,0
233,8.4,9.22,1,0
234,8.4,8.96,1,0
235,8.4,8.84,1,0
236,8.5,9.36,1,0
237,8.6,9.51,1,0
238,8.6,9.49,1,0
239,8.6,9.21,1,0
240,8.6,9.14,1,0
241,8.7,9.47,1,0
242,8.7,9.07,1,0
243,8.8,8.92,1,0
244,8.9,9.67,1,0
245,8.9,9.37,1,0
246,9,9.95,1,0
247,9,9.44,1,0
248,9,9.35,1,0
249,9,9.23,1,0
250,9,9.23,1,0
251,9,9.23,1,0
252,9,9.23,1,0
253,9,8.77,1,0
254,9.1,11.04,1,0
255,9.1,9.96,1,0
256,9.1,9.47,1,0
257,9.2,10.94,1,0
258,9.4,10.38,1,0
259,9.4,9.92,1,0
260,9.5,9.69,1,0
261,9.5,9.6,1,0
262,9.6,10.33,1,0
263,9.6,9.5,1,0
264,9.8,10.72,1,0
265,9.8,10.44,1,0
266,9.9,10.95,1,0
267,10,NA,1,0
268,10,NA,1,0
269,10,10.57,1,0
270,10,10.11,1,0
271,10,10.11,1,0
272,10,NA,0,0
273,10.2,10.97,1,0
274,10.2,10.66,1,0
275,10.5,11.93,1,0
276,10.5,10.73,1,0
277,10.5,10.62,1,0
278,10.6,11.91,1,0
279,10.6,11.31,1,0
280,10.9,11.78,1,0
281,11,11.65,1,0
282,11,11.41,1,0
283,11,11.31,1,0
284,11,11.31,1,0
285,11,11.21,1,0
286,11,11.21,1,0
287,11,10.69,1,0
288,11,10.38,1,0
289,11,10.27,1,0
290,11.5,11.98,1,0
291,11.5,11.98,1,0
292,11.7,NA,1,0
293,12,NA,1,0
294,12,12.35,1,0
295,12,12.19,1,0
296,12,12.17,1,0
297,12,12.09,1,0
298,12,12,1,0
299,12,11.91,1,0
300,12,11.83,1,0
301,13,13.25,1,0
302,13,13.25,1,0
303,13,13.17,1,0
304,13,13.08,1,0
305,13,13.08,1,0
306,13,13,1,0
307,13,12.92,1,0
308,13,12.92,1,0
309,13,12.91,1,0
310,13,12.83,1,0
311,13,12.67,1,0
312,13,12.25,1,0
313,14,NA,1,0
314,14,NA,1,1
315,14,14.3,1,0
316,14,14.23,1,0
317,14,14.16,1,0
318,14,14.15,1,0
319,14,14.08,1,0
320,14,14.08,1,0
321,14,13.85,1,0
322,14,13.77,1,0
323,14,NA,0,0
324,15,15.3,1,0
325,15,15.21,1,0
326,15,15.21,1,0
327,15,15.14,1,1
328,15,15.14,1,0
329,15,15,1,0
330,15,14.45,1,0
331,16,NA,1,0
332,16,16.45,1,0
333,16,16.41,1,1
334,16,16.41,1,0
335,16,16.29,1,0
336,16,16.28,1,1
337,16,16.06,1,1
338,16,16.06,1,0
339,16,16,1,0
340,16,16,1,0
341,16,15.94,1,1
342,16,15.94,1,0
343,16,15.89,1,1
344,16,15.89,1,0
345,17,NA,1,1
346,17,17.27,1,1
347,17,17.14,1,0
348,17,17.1,1,1
349,17,17.09,1,1
350,17,17.05,1,0
351,17,16.9,1,1
352,17,16.86,1,1
353,17,NA,0,1
354,18,NA,1,1
355,18,NA,1,1
356,18,NA,1,1
357,18,18.36,1,1
358,18,18.27,1,1
359,18,18.25,1,1
360,18,18.2,1,0
361,18,18.16,1,0
